Year,Term,Subject,Number,Course Title,Sched Type,Primary Instructor,GPA
2014,Fall,BUS,101,Business Prof Responsibility,LCD,"Baker, Colleen M",3.8054166666666673
2013,Fall,STAT,100,Statistics,LCD,"Paul, Subhadeep",3.826521739130435
2011,Fall,GWS,100,Intro Gender & Women's Studies,DIS,"Campbell, Peter O",2.79
2010,Spring,CHEM,103,General Chemistry Lab I,LAB,"Li, Xuan",3.0529213483146065
2011,Fall,HIST,141,Western Civ to 1660,DIS,"Godwin, Katherine R",2.951904761904762
2015,Spring,KIN,100,Development Activities,LAB,"Isaacs, Zadok J",3.8275862068965516
2013,Fall,CHEM,103,General Chemistry Lab I,LAB,"Anderson, Mikayla A",3.7336923076923076
2010,Fall,ENGL,102,Intro to Drama,LCD,"Alderfer, Sarah E",2.8037037037037034
2014,Fall,GS,101,Exploring General Studies,LCD,"Marshall, Tiara L",3.871290322580645
2015,Fall,CEE,498,Water Technology & Policy,LCD,"Stillwell, Ashlynn S",3.5695833333333336
2014,Spring,CHLH,100,Contemporary Health,DIS,"Grissom, Evanielis U",3.6590476190476187
2014,Spring,MATH,415,Applied Linear Algebra,LCD,"Kavruk, Ali S",3.2915625
2019,Fall,HIST,141,Western Civ to 1660,DIS,"Chmiel, Agata A",2.761904761904762
2015,Fall,ME,481,Whole-Body Musculoskel Biomech,LCD,"Hsiao-Wecksler, Elizabeth",3.6224324324324324
2021,Spring,GEOL,107,Physical Geology,OD,"Long, Ann D",3.3054166666666664
2010,Fall,BTW,250,Principles Bus Comm,LCD,"Tienou, Debora",3.48625
2021,Spring,ENG,177,Grainger Engr: Designed by You,OLC,"Forman, Gretchen M",3.380952380952381
2020,Summer,BADM,544,Strategic Management,ONL,"Somaya, Deepak",3.605797950219619
2011,Summer,HORT,107,Introduction to Floral Design,LAB,"Noland, Dianne A",3.3
2020,Fall,MACS,203,Contemporary Movies,OLC,"Valkanova, Dora R",3.4185106382978727
2017,Fall,PHYS,212,University Physics: Elec & Mag,,"Yang, Liang",3.29275641025641
2012,Fall,LING,100,Intro to Language Science,DIS,"Kennedy, Megan E",3.6404
2010,Spring,CPSC,241,Intro to Applied Statistics,LEC,"Bullock, Donald G",2.7396875
2015,Spring,CHEM,102,General Chemistry I,LEC,"Decoste, Donald J",2.4475555555555557
2014,Fall,MATH,285,Intro Differential Equations,LCD,"Pascaleff, James",3.1206944444444447
2017,Spring,STAT,542,Statistical Learning,,"Liang, Feng",3.8757333333333333
2018,Fall,MCB,253,Exp Techniqs in Cellular Biol,LAB,"Good, Elizabeth A",3.7427272727272722
2019,Fall,ANSC,420,Ruminant Nutrition,LEC,"Drackley, James K",3.0664
2013,Spring,CS,428,Software Engineering II,LCD,"Dig, Daniel",3.3232142857142857
2013,Spring,CS,533,Parallel Computer Architecture,LCD,"Torrellas, Josep",3.6542307692307694
2011,Summer,ACCY,201,Accounting and Accountancy I,DIS,"Gilpin, Daniel J",3.3339285714285714
2014,Fall,PHYS,326,Classical Mechanics II,LEC,"Weaver, Richard L",3.243728813559322
2020,Fall,CI,476,Teach Elem & Mid Lang Arts,ONL,"MacGregor, Nancy A",3.8186363636363634
2021,Spring,BADM,509,Managing Organizations,ONL,"Bednar, Michael K",3.628849557522124
2017,Fall,HIST,120,East Asian Civilizations,,"Chen, Xiao",3.5004166666666667
2016,Fall,ARCH,341,Environment Tech HVAC,,"Strand, Richard K",2.8056666666666663
2017,Fall,ECON,531,Macroeconomic Theory I,,"Baerlocher Carv, Diogo",3.590769230769231
2013,Fall,CHEM,203,Accelerated Chemistry Lab I,LEC,"Overcash, John W",2.746415094339623
2016,Spring,ECON,480,Industrial Comp and Monopoly,LCD,"Toossi, Ali",3.2485714285714287
2019,Fall,CHBE,422,Mass Transfer Operations,LEC,"Su, Xiao",3.062368421052631
2015,Spring,RLST,270,"Religion, Ethics, Environment",LCD,"McKim, Robert J",3.1496296296296293
2013,Fall,MATH,241,Calculus III,LCD,"Reiniger, Benjamin M",2.135675675675676
2021,Spring,CMN,412,Adv Organizational Comm,ONL,"Lammers, John C",3.3347826086956522
2010,Fall,LAS,101,Freshman Seminar,DIS,"Scott, Sharon L",3.8936
2011,Summer,LER,120,Contemporary Labor Problems,ONL,"Gilbert, Daniel",2.6792857142857143
2019,Spring,MSE,422,Electrical Ceramics,LEC,"Perry, Nicola H",3.2431818181818186
2016,Fall,FSHN,140,Introduction to Hospitality,,"Craft, Jill N",3.409090909090909
2019,Spring,CMN,396,Intercultural Rhetoric,LCD,"Cisneros, Josue D",2.7479310344827583
2017,Fall,KIN,122,Physical Activity and Health,,"Wilund, Kenneth",2.7674999999999996
2012,Fall,SOC,100,Introduction to Sociology,DIS,"Pacheco-McEvoy, Rodrigo",3.516060606060606
2018,Fall,PHYS,404,Electronic Circuits,LEC,"Giannetta, Russell W",3.090909090909091
2011,Fall,CS,125,Intro to Computer Science,LEC,"Angrave, Lawrence C",3.1937195121951225
2015,Fall,UP,418,GIS for Planners,LEC,"Baker, Dwayne M",3.27
2020,Spring,HIST,171,US History to 1877,LCD,"Henderson, Sandra L",3.4625806451612906
2011,Fall,HIST,172,US Hist Since 1877,DIS,"Leff, Mark H",2.6663636363636365
2018,Fall,MCB,250,Molecular Genetics,DIS,"Kirchner, Nicholas C",2.65047619047619
2014,Fall,SPED,322,Intro Intellectual Disability,LCD,"Bentz, Johnell L",3.2636046511627903
2011,Spring,MATH,417,Intro to Abstract Algebra,LCD,"Bergvelt, Maarten J",3.234333333333333
2014,Spring,ARCH,452,Theory of Reinforced Concrete,LEC,"Aminmansour, Abbas",3.8597656249999996
2010,Fall,ENGL,300,Writing About Literature,LCD,"Parker, Robert D",3.445
2014,Fall,GE,101,Engineering Graphics & Design,LBD,"Leake, James M",3.2861904761904763
2017,Spring,ARCH,452,Theory of Reinforced Concrete,,"Mitalski, Marc A",3.3680000000000003
2017,Fall,GS,101,Exploring General Studies,,"Chlebanowski, Rachel L",3.8686046511627907
2013,Fall,SHS,120,"Child, Comm, & Lang Ability",ONL,"Castro, Maria A",3.404255319148936
2010,Summer,HIST,171,US Hist to 1877,DIS,"Skidmore, Emily E",3.332857142857143
2018,Spring,RST,325,Marketing in RST,,"Huang, Zhuowei",3.3775362318840583
2012,Spring,IS,590,Web Design Construct Organizs,LCD,"Offenstein, Timothy L",3.739565217391304
2017,Summer,STAT,200,Statistical Analysis,,"Fireman, Ellen S",3.4187234042553185
2011,Summer,CS,125,Intro to Computer Science,LEC,"Angrave, Lawrence C",3.2871505376344086
2015,Fall,ANSC,309,Meat Production and Marketing,LEC,"Boler, Dustin D",3.627906976744186
2015,Fall,CMN,340,Visual Politics,LCD,"Bruner, Katie",3.704074074074074
2017,Fall,ECE,408,Applied Parallel Programming,,"Hwu, Wen-Mei W",3.573245614035088
2013,Spring,CEE,360,Structural Engineering,LCD,"Masud, Arif",2.8557731958762886
2019,Spring,ME,487,MEMS-NEMS Theory & Fabrication,LEC,"Kim, Seok",3.5732000000000004
2019,Spring,CHLH,304,Foundations of Health Behavior,LEC,"DiFilippo, Kristen N",3.393392857142857
2021,Summer,GEOG,101,Global Development&Environment,ONL,"Liu, Dong",3.6875
2021,Fall,REHB,330,Disability in American Society,ONL,"Jan, Yih-Kuen",3.435064935064935
2011,Spring,LER,100,Introduction to Labor Studies,ONL,"Ashby, Steven",3.267333333333333
2010,Spring,KIN,352,Bioenergetics of Movement,LEC,"Fernhall, Bo",2.727272727272727
2020,Spring,MACS,100,Intro to Popular TV & Movies,DIS,"Knipp, Jonathan A",3.5604545454545455
2011,Spring,PSYC,361,The Psychology of Aging,LEC,"Fabiani, Monica",3.1032
2015,Spring,CHEM,103,General Chemistry Lab I,LAB,"Suseno, Gary A",3.574444444444444
2015,Fall,HORT,105,Vegetable Gardening,LAB,"Norton, Margaret A",3.7907407407407407
2010,Spring,SPAN,200,Readings in Hispanic Texts,LCD,"Barraza, Nilda",3.4691891891891897
2018,Summer,STAT,100,Statistics,ONL,"Flanagan, Karle A",2.8890909090909087
2010,Fall,ENGL,104,Intro to Film,LCD,"Korman, Adam S",3.0940624999999997
2018,Fall,GLBL,100,Intro to Global Studies,LCD,"Fogelman, Charles J",3.693076923076923
2019,Spring,IB,151,Organismal & Evol Biol Lab,LAB,"Whitfield, James B",3.6514285714285717
2013,Fall,SOC,100,Introduction to Sociology,DIS,"Safoglu, Feyza N",3.1835483870967742
2014,Fall,CI,451,Tchg Elem Science II,LCD,"Summers, Ryan G",3.875
2015,Fall,RLST,110,World Religions,DIS,"Scheele, Genevieve V",3.1336
2011,Summer,LAW,616,Environmental Law and Pol I,LCD,"Rowell, Kristen A",3.491428571428572
2016,Spring,ECON,411,Public Sector Economics,LCD,"Arvin-Rad, Hassan",2.558648648648649
2020,Fall,ENGL,109,Intro to Fiction-ACP,ONL,"McLeer, Heather A",3.4782608695652173
2015,Spring,CS,450,Numerical Analysis,LCD,"Fischer, Paul",3.046821705426357
2017,Spring,CPSC,336,Tomorrow's Environment,,"Lee, DoKyoung",3.6153846153846154
2011,Fall,MATH,415,Applied Linear Algebra,LCD,"Haboush, William J",2.9133846153846155
2018,Fall,LAS,101,Freshman Seminar,DIS,"Soranso, Murillo S",3.3333333333333335
2015,Spring,MCB,462,Integrative Neuroscience,LEC,"Gillette, Martha L",3.520909090909091
2020,Fall,MACS,101,Intro to the Media,ONL,"Helmke, William H",3.75
2017,Fall,ACCY,301,Atg Measurement & Disclosure,,"Sougiannis, Theodore",3.0545161290322578
2020,Fall,PSYC,468,Psych and Law,OLC,"Spielmann, Julia",3.4809090909090905
2020,Fall,BADM,449,Business Policy and Strategy,ONL,"Kim, June-Young",3.4182051282051282
2012,Fall,ECON,302,Inter Microeconomic Theory,DIS,"Malasquez Carbo, Eduardo",2.6253125
2017,Fall,FIN,300,Financial Markets,,,2.7766666666666664
2011,Summer,ANTH,230,Sociocultural Anthropology,DIS,"Maas, Steven M",3.2122727272727274
2015,Spring,RLST,110,World Religions,DIS,"Lewis, Jeffrey J",3.6664285714285714
2015,Fall,MUS,107,Aural Skills I,DIS,"Nguyen, David Q",3.3769565217391304
2013,Spring,GEOL,100,Planet Earth,DIS,"Long, Ann D",2.803636363636364
2013,Fall,ENG,598,Applied Project Mgmt for LINC,LCD,"Litchfield, J B",3.6243478260869564
2011,Fall,REHB,330,Disability in American Society,LCD,"Osterbur, Elaina F",3.7104878048780487
2018,Fall,UP,407,State and Local Public Finance,LCD,"Edwards, Mary M",3.7411111111111106
2013,Spring,ART,299,Drawing for Non-Majors,LAB,"Hogin, Lauretta J",3.839655172413793
2021,Spring,CPSC,117,Agric. & Science of Coffee,Onl,"Margenot, Andrew J",3.4425
2011,Summer,MATH,285,Intro Differential Equations,LCD,"Tumanov, Alexander E",2.4327868852459016
2021,Spring,ESE,311,Environmental Issues Today,CNF,"Kanter, Robert E",3.356
2016,Fall,ENG,471,Seminar Energy & Sustain Engrg,,"Abelson, John R",3.862075471698114
2020,Fall,CMN,368,Sexual Communication,OLC,"Ramey, Mary E",3.431111111111111
2019,Spring,ECE,313,Probability with Engrg Applic,DIS,"Shanbhag, Naresh R",2.4226666666666667
2011,Fall,UP,504,Urban History and Theory,LEC,"Wilson, Beverly K",3.7142857142857144
2013,Summer,ECON,103,Macroeconomic Principles,ONL,"Petry, Joseph A",3.065714285714286
2014,Fall,BADM,449,Business Policy and Strategy,LCD,"Schijven, Mario P",3.3335
2016,Fall,RST,255,Ethical Issues in RST,,"Hardin, Donald R",2.5
2013,Fall,ENGL,274,Murder as a Fine Art,LCD,"Camargo, Sandra",3.371923076923077
2019,Fall,KIN,104,Ice Skating,LAB,"Biernacki, Rebecca L",3.6875
2014,Spring,MATH,241,Calculus III,LCD,"Watts, Jordan A",2.265
2013,Spring,ENG,471,Seminar Energy & Sustain Engrg,LCD,"Abelson, John R",3.748780487804878
2013,Spring,ACCY,301,Atg Measurement & Disclosure,LCD,"Zhou, Hailan",3.3620000000000005
2021,Fall,ACCY,405,Assurance and Attestation,LCD,"Thompson, Anne M",3.2657142857142856
2010,Spring,SOCW,200,Introduction to Social Work,LCD,"Hack-Ritzo, Samantha M",3.152542372881356
2011,Summer,HIST,141,Western Civ to 1660,DIS,"Godwin, Katherine R",2.5943478260869566
2019,Fall,ACES,101,Contemporary Issues in ACES,DIS,"Ohms, Cory J",3.449130434782609
2015,Spring,PSYC,363,Developmental Child Psych Lab,LEC,"Hyde, Daniel",3.8026530612244893
2013,Spring,PSYC,100,Intro Psych,LCD,"Travis, Lisa L",2.666888888888889
2014,Fall,LER,100,Introduction to Labor Studies,ONL,"Ashby, Steven",2.6068181818181815
2013,Fall,BADM,567,Process Management,LCD,"Sirichakwal, Issariya",3.476071428571429
2016,Fall,HIST,260,History of Russia,,"Koenker, Diane P",3.18972972972973
2015,Fall,PHIL,203,Ancient Philosophy,LCD,"Bohall, Jordan M",3.107169811320755
2011,Summer,BTW,250,Principles Bus Comm,LCD,"Gheba, Khaleel A",3.424545454545455
2020,Fall,ECE,120,Introduction to Computing,OLC,"Levchenko, Kirill I",3.4273786407766993
2015,Spring,FSHN,418,Food Analysis,LEC,"Cadwallader, Keith R",3.2512244897959186
2013,Spring,CLCV,115,Mythology of Greece and Rome,DIS,"McVey, Aine C",3.52896551724138
2015,Fall,ME,430,Failure of Engrg Materials,LCD,"Tawfick, Sameh H",3.4837500000000006
2015,Fall,HIST,373,Origins of the Civil War,LCD,"Levine, Bruce C",3.310344827586207
2019,Fall,CMN,465,Social Marketing Health&Behav,LCD,"Quick, Brian L",3.600666666666667
2010,Fall,ECON,103,Macroeconomic Principles,Q,"Jachetta, Christine B",2.873783783783784
2013,Fall,RST,130,Foundations of Sport Mgt,LCD,"Tainsky, Scott",2.7335000000000003
2020,Fall,LING,301,Elements of Syntax,OLC,"Talic, Aida",3.1204255319148935
2018,Spring,BADM,350,IT for Networked Organizations,,"Parthasarathy, Rangarajan",3.5755172413793104
2013,Spring,GEOG,101,Geog of Developing Countries,LBD,"Aadland, Matthew A",3.6796153846153845
2017,Fall,ACE,346,Tax Policy and Finan Planning,,"Breen, John",3.3072000000000004
2011,Summer,CHBE,440,Process Control and Dynamics,LEC,"Rao, Christopher V",3.036752136752137
2012,Summer,GWS,335,"Film, TV, and Gender",LCD,"Cole, Cheryl L",3.405357142857143
2013,Spring,BADM,554,Enterprise Database Management,LCD,"Sachdev, Vishal",3.3207407407407405
2011,Summer,IE,410,Stochastic Processes & Applic,LCD,"Jacobson, Sheldon H",2.4717073170731707
2010,Spring,ANTH,275,The World of Jewish Sepharad,LCD,"Saul, Mahir",2.95875
2021,Spring,ECON,102,Microeconomic Principles,OD,"Molina Gonzalez, Cristhia",3.5317117117117114
2011,Summer,RHET,105,Principles of Composition,LCD,"O'Brien, Valerie E",3.508571428571429
2015,Spring,MATH,231,Calculus II,LEC,"Mortensen, Karen P",2.793727272727273
2013,Fall,CS,538,Advanced Computer Networks,LCD,"Godfrey, Philip B",3.932045454545454
2010,Spring,CHEM,108,"Chemistry, Everyday Phenomena",LEC,"Adams, Gretchen",3.8525
2015,Fall,MUS,241,Music for Elementary Teachers,LCD,"Seybert, Katherine L",3.6950000000000003
2019,Spring,ACCY,517,Financial Statement Analysis,LCD,"Hamm, Brian K",3.347826086956522
2011,Spring,PSYC,100,Intro Psych,LCD,"Fayard, Jennifer V",3.1482222222222225
2021,Spring,ECON,302,Inter Microeconomic Theory,OD,"Wang, Cihang",3.385964912280702
2017,Fall,MATH,444,Elementary Real Analysis,,"Hinkkanen, Aimo H",3.2857142857142856
2013,Summer,ECE,350,Fields and Waves II,DIS,"Schutt-Aine, Jose E",3.5554166666666664
2018,Spring,FIN,321,Advanced Corporate Finance,,"Spencer, Xiangyi X",3.4412903225806453
2015,Fall,CEE,401,Concrete Materials,LEC,"Mondal, Paramita",3.6033333333333335
2012,Fall,KIN,140,Social Sci of Human Movement,LEC,"Drollette, Eric S",3.354351145038169
2018,Spring,ARTH,113,Introduction to African Art,,"Richter, Sarah D",3.6209090909090906
2014,Fall,RLST,120,A History of Judaism,LCD,"Weiss, Dov Y",3.556951219512195
2015,Summer,CMN,101,Public Speaking,LCD,"Bruner, Katie",3.4459999999999997
2013,Spring,MCB,150,Molec & Cellular Basis of Life,DIS,"Reedy, Melissa M",3.334285714285714
2020,Fall,MATH,213,Basic Discrete Mathematics,ONL,"Ivanov, Sergei V",2.9208000000000003
2019,Spring,CS,446,Machine Learning,LCD,"Schwing, Alexander G",3.396180555555555
2014,Fall,ANTH,230,Sociocultural Anthropology,DIS,"Kang, Yoonjung",3.5360714285714288
2020,Spring,SHS,121,American Sign Language I,LCD,"Colon, Carlos",3.028260869565217
2016,Spring,LAW,664,Employment Discrimination,LCD,"Thomas, Suja A",3.4014705882352945
2016,Fall,ACES,101,Contemporary Issues in ACES,,"Ang, Qi Qi Amanda",3.3673333333333333
2010,Fall,LAS,101,Freshman Seminar,DIS,"Hoffman, Ruth A",3.8672000000000004
2018,Fall,AGED,380,Leadership in Groups and Teams,LEC,"Collins, Jasmine D",3.444583333333333
2020,Spring,GLBL,200,Foundations of Research,LCD,"Bonatti, Valeria",3.7252173913043483
2011,Fall,ADV,450,Content Creation,LCD,"Sheldon, Peter S",3.064275862068966
2015,Spring,FIN,221,Corporate Finance,DIS,"Singh, Pranav P",3.144054054054054
2012,Fall,MATH,461,Probability Theory,LCD,"Song, Renming",2.334137931034483
2016,Fall,LA,370,Environmental Sustainability,,"Sullivan, William C",3.1083783783783785
2018,Spring,ACE,210,Environmental Economics,,"Ando, Amy W",3.6233
2011,Fall,SOCW,451,HBSE I: Human Development,LCD,"Havlicek, Judith R",3.8556666666666666
2012,Spring,STAT,410,Statistics and Probability II,LEC,"Stepanov, Alexey G",2.977241379310345
2015,Spring,PS,322,Law and Public Policy,LCD,"Hinchliffe, Joseph",2.9560526315789475
2020,Spring,ACE,431,Agri-food Strategic Management,LCD,"Moss, LeeAnn E",3.763157894736842
2013,Fall,ECON,102,Microeconomic Principles,Q,"Vazquez, Jose J",3.747272727272727
2015,Fall,ME,487,MEMS-NEMS Theory & Fabrication,LEC,"Kim, Seok",3.2624999999999997
2021,Fall,BADM,210,Business Analytics I,LEC,"Larson, Eric",3.779429824561403
2019,Fall,AGED,140,Interpersonal Intelligence,ONL,"Smist, Jennifer A",3.3611602209944746
2011,Summer,CMN,496,Adv Topics in Communication,LCD,"Jacobs, Curtis S",3.2317391304347827
2021,Fall,UP,418,GIS for Planners,ONL,"Fang, Fang",3.7068
2018,Spring,BTW,250,Principles Bus Comm,,"McGuire, Lee",3.710434782608696
2018,Spring,CS,398,Applied Cloud Computing,,"Brunner, Robert J",3.406333333333334
2018,Spring,MATH,478,Loss Models,,"Li, Shu",2.99
2011,Fall,ECON,202,Economic Statistics I,Q,"Jo, Young",2.9306896551724138
2011,Fall,LER,100,Introduction to Labor Studies,ONL,"Sitler, Donna L",2.1493103448275863
2010,Spring,CEE,415,Geometric Design of Roads,LCD,"Mishra, Debakanta",3.3431428571428574
2019,Spring,MCB,247,Human Anat & Physiol Lab II,LAB,"Swigart, James P",2.5058620689655173
2016,Spring,FIN,221,Corporate Finance,DIS,"Huang, Ruidi",3.1313953488372093
2019,Fall,ECE,329,Fields and Waves I,DIS,"Ilie, Raluca",3.2045614035087717
2013,Spring,LAW,601,Contracts,LCD,"Brubaker, Ralph E",3.2373469387755103
2019,Fall,REL,236,"Religion, Violence & America",LEC,"Ebel, Jonathan H",2.905714285714286
2010,Fall,SOC,350,Technology and Society,LEC,"Shoffstall, Grant W",3.42575
2013,Spring,PHYS,102,College Physics: E&M & Modern,LEC,"Chemla, Yann R",2.604294117647058
2016,Fall,IS,504,Reference and Info Services,,"LeCrone, Jessica M",3.8704347826086956
2020,Fall,LAS,101,Design First Year Experience,DIS,"Soranso, Murillo S",3.536086956521739
2014,Fall,LAS,101,Freshman Seminar,DIS,"Hoffman, Ruth A",3.636818181818182
2018,Spring,ME,170,Computer-Aided Design,,"Philpott, Michael L",3.7888461538461535
2021,Fall,UP,312,Communication for Planners,LEC,"Chakraborty, Arnab",3.2143589743589747
2015,Fall,BADM,377,Project Management,LCD,"Taghaboni-Dutta, Fataneh",3.148222222222222
2019,Spring,ANTH,246,Forensic Science,ONL,"Hughes, Cris E",3.6722735674676525
2016,Fall,EPSY,420,Theories of Psychotherapy,,"Kinderman, Lisa",3.0192957746478872
2014,Spring,RST,370,Research Methods & Analysis,LCD,"Berdychevsky Ku, Yelyzave",3.045932203389831
2018,Fall,ECON,420,International Economics,LCD,"Arango Isaza, Mauricio",2.979375
2013,Fall,FIN,512,Financial Derivatives,LCD,"Dey, Malay K",3.438181818181818
2014,Spring,PS,385,Politics of the European Union,LCD,"Vander Most, Neil G",2.7731818181818184
2010,Fall,MATH,213,Basic Discrete Mathematics,LCD,"Hildebrand, A J",3.0206250000000003
2019,Spring,CHEM,233,Elementary Organic Chem Lab I,LEC,"Kell, David A",3.310134529147982
2013,Spring,ANTH,103,Anthro in a Changing World,LEC,"Orta, Andrew",3.051333333333334
2020,Spring,PSYC,201,Intro to Social Psych,LEC,"Laurent, Sean M",2.9603030303030304
2010,Spring,PSYC,100,Intro Psych,LCD,"Lustig, Audrey G",3.0143478260869565
2020,Spring,CHLH,380,Orientation to Internship,LCD,"Adamson, Brynn C",3.7403846153846154
2020,Fall,MATH,241,Calculus III,OLC,"Heleodoro, Aron A",2.821976744186047
2013,Fall,MACS,317,History of Communication,LCD,"Hay, James W",3.0952380952380953
2018,Spring,MATH,241,Calculus III,,"Anema, Jason A",2.604739130434783
2013,Fall,ECE,486,Control Systems,DIS,"Belabbas, Mohamed Ali",3.3936
2015,Fall,CMN,435,Adv Interpersonal Comm,LCD,"Ramey, Mary E",3.6236666666666664
2018,Fall,ACCY,301,Atg Measurement & Disclosure,LCD,"Sougiannis, Theodore",3.2466666666666666
2018,Fall,MCB,450,Introductory Biochemistry,LEC,"Orlean, Peter A",2.861653846153846
2015,Spring,ADV,284,Consumer Insight,LCD,"Chen, Wei Fen",3.8808000000000002
2010,Spring,ACCY,304,Accounting Control Systems,LCD,"Bol, Jasmijn C",3.313939393939394
2019,Spring,GEOL,100,Planet Earth,DIS,"Long, Ann D",2.9371428571428573
2021,Spring,CI,432,Invest Approach Elem Math Inst,LCD,"Poetzel, Adam R",3.8733333333333335
2011,Summer,ACCY,312,Principles of Taxation,LCD,"Varadharajan, Anupama",3.3237837837837843
2015,Spring,IHLT,474,Pre-Field Experience in Health,ONL,"Frasca, Elizabeth A",3.4404000000000003
2019,Fall,EPOL,500,EdD Essentials Seminar,ONL,"Lee, Sharon S",3.971086956521739
2017,Spring,FIN,563,Investment Banking,,"Metzger, Robert L",3.674285714285714
2018,Spring,HIST,164,The Automobile,,"Harshman, Matthew J",2.4171875000000003
2011,Spring,ARCH,374,Arch Design and the City,LAB,"Greenlee, Camden L",2.941176470588235
2017,Fall,THEA,101,Introduction to Theatre Arts,,"Morrissette, Jason W",3.537954545454546
2020,Summer,LER,590,Fundamentals of Business & Man,ONL,"Neuman, Eric J",3.5797368421052633
2013,Spring,CEE,420,Construction Productivity,LCD,"Liu, Liang Y",3.3293670886075946
2016,Fall,ACCY,512,Internal Risk Measurement/Rept,,"Chandler, John S",3.6328205128205124
2018,Spring,CHLH,594,Systematic Review&MetaAnalysis,,"An, Ruopeng",3.70047619047619
2020,Winter,CMN,336,Family Communication,ONL,"Pulido, Manuel D",2.3334782608695654
2013,Spring,HIST,141,Western Civ to 1660,DIS,"Jakel, Elana J",3.2431818181818186
2011,Summer,GEOL,117,The Oceans,LEC,"Stewart, Michael A",2.9866115702479337
2014,Fall,FR,102,Elementary French II,LCD,"Staubs, Emilie M",3.391739130434783
2013,Spring,ACCY,200,Fundamentals of Accounting,LCD,"Silhan, Peter A",2.8241509433962264
2010,Fall,LAS,101,Freshman Seminar,DIS,"Hoffman, Ruth A",3.8668
2015,Spring,ME,370,Mechanical Design I,LCD,"Ozerinc, Sezer",3.2800000000000002
2014,Fall,RLST,110,World Religions,DIS,"Shelly, Joshua D",2.7785185185185184
2013,Spring,ACE,161,Microcomputer Applications,LBD,"Lo, Alexander C",3.7083333333333335
2019,Spring,MCB,450,Introductory Biochemistry,LEC,"Orlean, Peter A",2.802867383512545
2017,Spring,PSYC,455,Organizational Psych,,"Newman, Daniel A",3.0336666666666665
2021,Fall,STAT,212,Biostatistics,LCD,"Findley, Kelly P",3.493750000000001
2015,Spring,CHEM,332,Elementary Organic Chem II,LCD,"Koerner, Michael",2.410305676855895
2018,Spring,ENG,571,Theory Energy & Sustain Engrg,,"Abelson, John R",3.711052631578948
2016,Fall,HIST,141,Western Civ to 1660,,"Huang, Jun",3.260869565217391
2016,Spring,ECE,329,Fields and Waves I,DIS,"Dragic, Peter D",2.949027777777778
2015,Fall,MATH,453,Elementary Theory of Numbers,LCD,"Zaharescu, Alexandru",3.778181818181818
2019,Spring,HIST,274,US & World Since 1917,DIS,"Ito, Koji",3.5159090909090907
2013,Spring,CMN,220,Communicating Public Policy,LCD,"Lowe, Marissa E",3.5554166666666664
2014,Spring,BUS,301,Principles Prof Responsibility,LCD,"Gunsalus, C K",3.781142857142857
2015,Fall,ACE,161,Microcomputer Applications,LBD,"Lo, Alexander C",3.875
2014,Spring,SHS,410,Stuttering: Theory & Practice,LCD,"Loucks, Torrey M",3.5765625
2013,Fall,MATH,444,Elementary Real Analysis,LCD,"Guo, Jingwei",3.1111111111111116
2016,Spring,ANSC,498,Integrating Animal Sciences,LCD,"Loerch, Steven C",3.9305555555555554
2010,Spring,CHEM,233,Elementary Organic Chem Lab I,LEC,"Kuykendall, Darrell W",2.8116847826086953
2016,Spring,ME,300,Thermodynamics,LEC,"Glumac, Nick G",2.4352542372881354
2017,Spring,SOCW,552,HBSE II: Mental Disorders,,"Ackerson, Barry J",3.5561904761904763
2013,Fall,AE,402,Orbital Mechanics,LCD,"Conway, Bruce A",3.008780487804878
2018,Fall,SBC,511,Strat. Analytics & Data Visual,ONL,"Sachdev, Vishal",3.715925925925926
2021,Spring,FIN,241,Fundamentals of Real Estate,LCD,"Perkins, Scott E",3.7267999999999994
2016,Fall,SOC,100,Introduction to Sociology,,"McLean, Shay Akil",3.2796774193548384
2016,Spring,RST,429,Contemporary Issues in RST,LCD,"Stewart, William P",3.2747058823529414
2021,Fall,MCB,150,Molec & Cellular Basis of Life,DIS,"Reedy, Melissa M",3.5975
2013,Fall,ACE,398,Contemporary Issues in Policy,LCD,"Finnegan, Ann B",3.894090909090909
2019,Fall,GS,101,Exploring General Studies,LCD,"Bryan, Clair E",3.7236585365853663
2013,Fall,ECE,110,Intro Elec & Computer Engrg,LEC,"Schmitz, Christopher",3.371908396946565
2010,Spring,LA,270,Behavioral Factors in Design,LEC,"Sullivan, William C",3.196818181818182
2010,Spring,CS,173,Discrete Structures,DIS,"Pittman, Lance C",2.563103448275862
2019,Spring,ANSC,223,Animal Nutrition,LEC,"Dilger, Ryan N",2.8495714285714286
2016,Fall,ECON,102,Microeconomic Principles,,"Cooke, Diana A",3.639189189189189
2010,Spring,MCB,101,Intro Microbiology Laboratory,LAB,"Reno, Michael L",3.7830434782608697
2020,Spring,ACE,161,Microcomputer Applications,LBD,"Lo, Alexander C",3.4814814814814814
2021,Spring,MCB,354,Biochem & Phys Basis of Life,OD,"Stenger, Alejandra L",3.13875
2013,Fall,ADV,281,Advertising Research Methods,LCD,"Wise, Kevin R",2.499901960784314
2011,Fall,PHYS,211,University Physics: Mechanics,LEC,"Selen, Mats A",3.2827354260089687
2018,Spring,CHEM,105,General Chemistry Lab II,,"Marville, Kelly",3.8518518518518516
2012,Fall,PSYC,406,Statistical Methods I,LEC,"Gratton, Gabriele",3.7096774193548385
